"Date","Price","Open","High","Low","Vol","Change"
"Feb 20, 2015","41.36","40.10","41.64","39.53","2.76M","4.21"
"Feb 19, 2015","39.69","39.52","39.86","38.98","1.01M","-0.15"
"Feb 18, 2015","39.75","39.78","40.87","39.56","1.56M","0.20"
"Feb 17, 2015","39.67","39.75","40.26","39.18","1.14M","-0.65"
"Feb 13, 2015","39.93","37.98","40.05","37.91","2.98M","4.47"
"Feb 12, 2015","38.22","37.77","38.42","37.56","1.80M","2.06"
"Feb 11, 2015","37.45","37.67","38.38","37.41","2.44M","-1.29"
"Feb 10, 2015","37.94","38.25","38.72","37.60","5.23M","-2.92"
"Feb 09, 2015","39.08","39.55","40.01","38.67","4.76M","-3.67"
"Feb 06, 2015","40.57","40.05","41.31","40.04","2.93M","2.04"
"Feb 05, 2015","39.76","39.19","41.75","38.82","13.54M","6.22"
"Feb 04, 2015","37.43","36.52","37.89","36.43","2.29M","2.60"
"Feb 03, 2015","36.48","35.91","37.27","35.91","2.32M","1.84"
"Feb 02, 2015","35.82","34.60","35.90","33.83","1.33M","4.04"
"Jan 30, 2015","34.43","34.40","35.07","34.28","1.85M","-1.09"
"Jan 29, 2015","34.81","34.68","35.11","34.20","735.30K","0.93"
"Jan 28, 2015","34.49","35.55","35.66","34.14","1.06M","-2.35"
"Jan 27, 2015","35.32","36.16","36.39","35.28","624.63K","-3.42"
"Jan 26, 2015","36.57","35.82","36.62","35.42","912.39K","2.41"
"Jan 23, 2015","35.71","35.93","36.48","35.53","482.23K","-0.45"
"Jan 22, 2015","35.87","35.76","36.15","35.31","459.89K","0.96"
"Jan 21, 2015","35.53","36.00","36.21","35.12","570.64K","-1.47"
"Jan 20, 2015","36.06","36.00","36.80","35.70","461.47K","-2.49"
"Jan 16, 2015","36.98","36.46","37.29","35.99","570.61K","2.47"
"Jan 15, 2015","36.09","37.80","37.80","35.90","747.58K","-1.98"
"Jan 14, 2015","36.82","36.59","37.32","36.25","806.52K","-0.91"
"Jan 13, 2015","37.16","36.75","37.28","36.55","1.37M","1.12"
"Jan 12, 2015","36.75","38.15","38.49","36.67","908.92K","-3.92"
"Jan 09, 2015","38.25","37.92","38.82","37.55","1.10M","0.76"
"Jan 08, 2015","37.96","37.29","38.40","36.71","1.20M","2.02"
"Jan 07, 2015","37.21","38.00","38.83","37.04","752.36K","-1.48"
"Jan 06, 2015","37.77","37.04","37.93","36.37","1.57M","1.67"
"Jan 05, 2015","37.15","36.43","37.68","35.89","1.31M","1.59"
"Jan 02, 2015","36.57","36.11","37.10","35.88","958.38K","0.69"
